	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
metformin	-0.459344262295082	0.01901	0.246377128712871	0.7	10	0.0264900662251656	TRUE
phenformin	-0.290655737704918	0.50513	0.888227679045093	0.142857142857143	7	0.535714285714286	FALSE
phenyl biguanide	-0.947704918032787	1e-05	0.000242407407407407	1	1	0.0932203389830508	FALSE
valproic acid	-0.154659188955997	0.11497	0.605083935742972	0.421052631578947	57	0.55625	FALSE
estradiol	0.149087284005317	0.34607	0.809421542553191	0.324324324324324	37	0.779874213836478	FALSE
alpha-estradiol	-0.211680327868852	0.41247	0.851489039370079	0.3125	16	0.759562841530055	FALSE
dexamethasone	-0.373606557377049	0.1648	0.668842438271605	0.375	8	0.144927536231884	FALSE
mesalazine	0.335737704918033	0.52252	0.891758383311604	0.2	5	0.328	FALSE
chlorpropamide	-0.287213114754098	0.60855	0.917842643020595	0.5	6	0.675824175824176	FALSE
tolbutamide	0.27344262295082	0.57798	0.911931409638554	0.428571428571429	7	0.564625850340136	FALSE
tamoxifen	0.451405152224824	0.08057	0.558021851851852	0.142857142857143	7	0.0967741935483871	FALSE
verapamil	0.345081967213115	0.3819	0.838438578595318	0.166666666666667	6	0.289473684210526	FALSE
dexverapamil	-0.665245901639344	1e-05	0.000242407407407407	0	1	0.724137931034483	FALSE
exemestane	-0.623770491803279	1e-05	0.000242407407407407	0	1	0.718390804597701	FALSE
rofecoxib	0.21448087431694	0.89532	0.985252957746479	0.166666666666667	6	0.875912408759124	FALSE
amitriptyline	-0.260273224043716	0.72629	0.942544610069102	0.5	6	0.811320754716981	FALSE
sulindac	0.363114754098361	0.24643	0.73605159453303	0.428571428571429	7	0.33879781420765	FALSE
tacrolimus	0.302404371584699	0.87977	0.976776022052587	0.333333333333333	3	0.968152866242038	FALSE
15-delta prostaglandin J2	0.571256830601093	3e-05	0.000677068965517241	0.333333333333333	15	0.128491620111732	FALSE
raloxifene	0.20847775175644	0.86415	0.969299357326478	0.285714285714286	7	0.924528301886792	FALSE
nordihydroguaiaretic acid	0.329836065573771	0.05967	0.487582173913043	0.533333333333333	15	0.150537634408602	TRUE
sulfasalazine	0.261475409836066	0.80671	0.952836534653465	0.4	5	0.751937984496124	FALSE
celecoxib	0.476065573770492	0.14554	0.649755973154362	0.2	5	0.183333333333333	FALSE
LM-1685	0.534535519125683	0.25626	0.746158150537634	0.666666666666667	3	0.252688172043011	TRUE
SC-58125	0.238032786885246	0.93662	0.998604378834356	0.25	4	0.942196531791908	FALSE
tanespimycin	0.5181385510312	0	0	0.709677419354839	62	0.0621761658031088	TRUE
tomelukast	0.612131147540984	1e-05	0.000242407407407407	0	1	0.717391304347826	FALSE
TTNPB	0.905245901639344	0.0178	0.245265263157895	1	2	0	TRUE
tretinoin	-0.162682563338301	0.54817	0.903685106382979	0.363636363636364	22	0.838235294117647	FALSE
LY-294002	-0.239508196721311	0.00126	0.02499	0.180327868852459	61	0.493827160493827	FALSE
ciclosporin	0.452786885245902	0.12044	0.616415509433962	0.5	6	0.209876543209877	FALSE
indometacin	-0.216393442622951	0.77785	0.950192680695334	0.5	8	0.820652173913043	FALSE
clofibrate	-0.452950819672131	0.672	0.93892739039666	0.5	2	0.469387755102041	FALSE
MK-886	-0.778032786885246	0.09884	0.571633644067797	1	2	0.0466666666666667	TRUE
prednisolone	-0.293114754098361	0.69007	0.939960072840791	0.4	5	0.664596273291925	FALSE
thalidomide	0.292388758782201	0.49796	0.888051280653951	0.285714285714286	7	0.468253968253968	FALSE
genistein	0.265371263259402	0.15031	0.650667730263158	0.411764705882353	17	0.598837209302326	FALSE
fludrocortisone	0.223852459016393	0.74108	0.943985164938737	0.375	8	0.923529411764706	FALSE
quercetin	-0.316065573770492	0.48625	0.887780586630287	0.5	6	0.444444444444444	FALSE
sulindac sulfide	0.556885245901639	1e-05	0.000242407407407407	0	1	0.872832369942196	FALSE
exisulind	0.695081967213115	0.18494	0.689705014245014	0.5	2	0.13768115942029	FALSE
fulvestrant	-0.163688524590164	0.20785	0.70669	0.375	40	0.474820143884892	FALSE
monastrol	-0.149672131147541	0.98128	0.998604378834356	0.375	8	0.986754966887417	FALSE
