	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
metformin	-0.225081967213115	0.61289	0.84272375	0.4	10	0.688741721854305	FALSE
phenformin	-0.264941451990632	0.61716	0.845929256544503	0.285714285714286	7	0.642857142857143	FALSE
phenyl biguanide	-0.625409836065574	1e-05	0.000251730769230769	0	1	0.796610169491525	FALSE
valproic acid	0.21735691688237	0.00712	0.0839646846846847	0.614035087719298	57	0.223684210526316	TRUE
estradiol	-0.286854231280461	0.00332	0.0483215957446808	0.432432432432432	37	0.137254901960784	FALSE
alpha-estradiol	0.469303278688525	0.00089	0.01820328125	0.875	16	0.0232558139534884	TRUE
dexamethasone	-0.344098360655738	0.23739	0.597968187022901	0.5	8	0.239130434782609	FALSE
mesalazine	0.314262295081967	0.606	0.837456223628692	0.4	5	0.472	FALSE
chlorpropamide	-0.215792349726776	0.89146	0.962713924154988	0.333333333333333	6	0.901098901098901	FALSE
tolbutamide	-0.272903981264637	0.58038	0.822828333333333	0.428571428571429	7	0.509090909090909	FALSE
tamoxifen	-0.290585480093677	0.5054	0.789131116389549	0.428571428571429	7	0.484126984126984	FALSE
verapamil	-0.257431693989071	0.73799	0.904631760299625	0.5	6	0.75	FALSE
dexverapamil	0.994590163934426	1e-05	0.000251730769230769	1	1	0.0275229357798165	FALSE
exemestane	0.873114754098361	1e-05	0.000251730769230769	1	1	0.246376811594203	FALSE
rofecoxib	0.235737704918033	0.8247	0.93466	0.666666666666667	6	0.817518248175182	TRUE
amitriptyline	-0.44655737704918	0.13065	0.458500938337802	0.666666666666667	6	0.245283018867925	TRUE
sulindac	-0.425175644028103	0.11457	0.448225044776119	0.285714285714286	7	0.170542635658915	FALSE
tacrolimus	-0.556065573770492	0.2144	0.576470698151951	0.666666666666667	3	0.348387096774194	TRUE
15-delta prostaglandin J2	-0.439562841530055	0.00344	0.0483215957446808	0.4	15	0.180451127819549	FALSE
raloxifene	-0.314449648711944	0.40877	0.73601090784044	0.428571428571429	7	0.503267973856209	FALSE
nordihydroguaiaretic acid	0.169672131147541	0.72013	0.896055294676806	0.6	15	0.854838709677419	TRUE
sulfasalazine	0.361967213114754	0.42553	0.745343551401869	0.6	5	0.325581395348837	TRUE
celecoxib	-0.455737704918033	0.18098	0.5288009375	0.2	5	0.242424242424242	FALSE
LM-1685	0.33551912568306	0.77107	0.91840821656051	0.666666666666667	3	0.768817204301075	TRUE
SC-58125	0.475409836065574	0.2329	0.597968187022901	0.75	4	0.184971098265896	TRUE
tanespimycin	0.222596509783184	0.00293	0.0456591666666667	0.629032258064516	62	0.595854922279793	TRUE
tomelukast	-0.821147540983607	1e-05	0.000251730769230769	1	1	0.375	FALSE
TTNPB	-0.446393442622951	0.69271	0.884224406614786	0.5	2	0.735099337748344	FALSE
tretinoin	0.368286140089419	0.00315	0.0479459302325581	0.727272727272727	22	0.153409090909091	TRUE
LY-294002	0.343114754098361	0	0	0.721311475409836	61	0.246666666666667	TRUE
ciclosporin	-0.551366120218579	0.03069	0.2156	0.333333333333333	6	0.0533333333333333	FALSE
indometacin	0.214344262295082	0.78709	0.919789893711249	0.625	8	0.8046875	TRUE
clofibrate	0.442786885245902	0.70423	0.887315898174832	0.5	2	0.733333333333333	FALSE
MK-886	-0.412131147540984	0.79175	0.919789893711249	0.5	2	0.74	FALSE
prednisolone	-0.265737704918033	0.79152	0.919789893711249	0.6	5	0.751552795031056	TRUE
thalidomide	0.384941451990632	0.18966	0.547069735682819	0.714285714285714	7	0.158730158730159	TRUE
genistein	-0.361620057859209	0.01701	0.157915531914894	0.352941176470588	17	0.264285714285714	FALSE
fludrocortisone	-0.647622950819672	0.00103	0.0201234328358209	0.875	8	0.0422535211267606	TRUE
quercetin	-0.431475409836066	0.15652	0.498502871046229	0.5	6	0.150793650793651	FALSE
sulindac sulfide	-0.702131147540984	1e-05	0.000251730769230769	0	1	0.633093525179856	FALSE
exisulind	-0.466885245901639	0.62497	0.850400966735967	0.5	2	0.528735632183908	FALSE
fulvestrant	0.144754098360656	0.33692	0.672937743902439	0.575	40	0.653179190751445	TRUE
monastrol	-0.192377049180328	0.87793	0.957675308333333	0.375	8	0.907284768211921	FALSE
staurosporine	0.295409836065574	0.7826	0.919789893711249	0.75	4	0.801204819277108	TRUE
NU-1025	-0.564426229508197	0.37918	0.706524836415363	0.5	2	0.360215053763441	FALSE
acetylsalicylic acid	0.325586380832282	0.09945	0.411657931034483	0.769230769230769	13	0.184	TRUE
flufenamic acid	0.497431693989071	0.06789	0.331597052238806	0.833333333333333	6	0.072992700729927	TRUE
N-phenylanthranilic acid	0.536229508196721	1e-05	0.000251730769230769	1	1	0.900662251655629	FALSE
monorden	-0.120983606557377	0.86507	0.950778026868178	0.454545454545455	22	0.952	FALSE
sirolimus	0.352399403874814	4e-05	0.000952	0.772727272727273	44	0.198795180722892	TRUE
